"FECHA","Horas","O3","NO2","CO","SO2","PM-10","PM-2.5"
"14/01/2020",19:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"14/01/2020",20:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"14/01/2020",21:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"14/01/2020",22:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"14/01/2020",23:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"15/01/2020",00:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"15/01/2020",01:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"15/01/2020",02:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"15/01/2020",03:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"15/01/2020",04:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"15/01/2020",05:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"15/01/2020",06:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"15/01/2020",07:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"15/01/2020",08:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"15/01/2020",09:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"15/01/2020",10:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"15/01/2020",11:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"15/01/2020",12:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"15/01/2020",13:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"15/01/2020",14:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"15/01/2020",15:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"15/01/2020",16:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"15/01/2020",17:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"15/01/2020",18:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"15/01/2020",19:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"15/01/2020",20:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"15/01/2020",21:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"15/01/2020",22:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"15/01/2020",23:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"16/01/2020",00:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"16/01/2020",01:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"16/01/2020",02:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"16/01/2020",03:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"16/01/2020",04:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"16/01/2020",05:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"16/01/2020",06:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"16/01/2020",07:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"16/01/2020",08:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"16/01/2020",09:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"16/01/2020",10:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"16/01/2020",11:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"16/01/2020",12:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"16/01/2020",13:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"16/01/2020",14:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"16/01/2020",15:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"16/01/2020",16:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"16/01/2020",17:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"16/01/2020",18:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"16/01/2020",19:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"16/01/2020",20:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"16/01/2020",21:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"16/01/2020",22:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"16/01/2020",23:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"17/01/2020",00:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"17/01/2020",01:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"17/01/2020",02:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"17/01/2020",03:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"17/01/2020",04:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"17/01/2020",05:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"17/01/2020",06:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"17/01/2020",07:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"17/01/2020",08:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"17/01/2020",09:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"17/01/2020",10:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"17/01/2020",11:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"17/01/2020",12:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"17/01/2020",13:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"17/01/2020",14:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"17/01/2020",15:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"17/01/2020",16:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"17/01/2020",17:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"17/01/2020",18:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"17/01/2020",19:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"17/01/2020",20:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"17/01/2020",21:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"17/01/2020",22:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"17/01/2020",23:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"18/01/2020",00:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"18/01/2020",01:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"18/01/2020",02:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"18/01/2020",03:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"18/01/2020",04:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"18/01/2020",05:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"18/01/2020",06:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"18/01/2020",07:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"18/01/2020",08:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"18/01/2020",09:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"18/01/2020",10:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"18/01/2020",11:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"18/01/2020",12:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"18/01/2020",13:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"18/01/2020",14:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"18/01/2020",15:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"18/01/2020",16:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"18/01/2020",17:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"18/01/2020",18:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"18/01/2020",19:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"18/01/2020",20:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"18/01/2020",21:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"18/01/2020",22:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"18/01/2020",23:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"19/01/2020",00:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"19/01/2020",01:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"19/01/2020",02:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"19/01/2020",03:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"19/01/2020",04:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"19/01/2020",05:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"19/01/2020",06:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"19/01/2020",07:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"19/01/2020",08:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"19/01/2020",09:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"19/01/2020",10:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"19/01/2020",11:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"19/01/2020",12:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"19/01/2020",13:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"19/01/2020",14:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"19/01/2020",15:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"19/01/2020",16:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"19/01/2020",17:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"19/01/2020",18:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"19/01/2020",19:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"19/01/2020",20:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"19/01/2020",21:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"19/01/2020",22:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"19/01/2020",23:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"20/01/2020",00:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"20/01/2020",01:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"20/01/2020",02:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"20/01/2020",03:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"20/01/2020",04:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"20/01/2020",05:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"20/01/2020",06:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"20/01/2020",07:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"20/01/2020",08:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"20/01/2020",09:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"20/01/2020",10:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"20/01/2020",11:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"20/01/2020",12:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"20/01/2020",13:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"20/01/2020",14:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"20/01/2020",15:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"20/01/2020",16:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"20/01/2020",17:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"20/01/2020",18:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"20/01/2020",19:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"20/01/2020",20:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"20/01/2020",21:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"20/01/2020",22:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"20/01/2020",23:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"21/01/2020",00:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"21/01/2020",01:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"21/01/2020",02:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"21/01/2020",03:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"21/01/2020",04:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"21/01/2020",05:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"21/01/2020",06:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"21/01/2020",07:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"21/01/2020",08:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"21/01/2020",09:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"21/01/2020",10:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"21/01/2020",11:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"21/01/2020",12:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"21/01/2020",13:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"21/01/2020",14:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"21/01/2020",15:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"21/01/2020",16:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"21/01/2020",17:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"21/01/2020",18:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"21/01/2020",19:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"21/01/2020",20:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"21/01/2020",21:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"21/01/2020",22:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"21/01/2020",23:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"22/01/2020",00:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"22/01/2020",01:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"22/01/2020",02:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"22/01/2020",03:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"22/01/2020",04:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"22/01/2020",05:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"22/01/2020",06:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"22/01/2020",07:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"22/01/2020",08:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"22/01/2020",09:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"22/01/2020",10:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"22/01/2020",11:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"22/01/2020",12:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"22/01/2020",13:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"22/01/2020",14:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"22/01/2020",15:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"22/01/2020",16:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"22/01/2020",17:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"22/01/2020",18:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"22/01/2020",19:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"22/01/2020",20:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"22/01/2020",21:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"22/01/2020",22:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"22/01/2020",23:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"23/01/2020",00:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"23/01/2020",01:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"23/01/2020",02:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"23/01/2020",03:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"23/01/2020",04:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"23/01/2020",05:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"23/01/2020",06:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"23/01/2020",07:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"23/01/2020",08:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"23/01/2020",09:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"23/01/2020",10:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"23/01/2020",11:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"23/01/2020",12:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"23/01/2020",13:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"23/01/2020",14:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"23/01/2020",15:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"23/01/2020",16:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"23/01/2020",17:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"23/01/2020",18:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"23/01/2020",19:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"23/01/2020",20:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"23/01/2020",21:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"23/01/2020",22:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"23/01/2020",23:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"24/01/2020",00:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"24/01/2020",01:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"24/01/2020",02:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"24/01/2020",03:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"24/01/2020",04:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"24/01/2020",05:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"24/01/2020",06:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"24/01/2020",07:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"24/01/2020",08:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"24/01/2020",09:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"24/01/2020",10:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"24/01/2020",11:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"24/01/2020",12:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"24/01/2020",13:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"24/01/2020",14:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"24/01/2020",15:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"24/01/2020",16:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"24/01/2020",17:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"24/01/2020",18:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"24/01/2020",19:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"24/01/2020",20:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"24/01/2020",21:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"24/01/2020",22:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"24/01/2020",23:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"25/01/2020",00:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"25/01/2020",01:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"25/01/2020",02:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"25/01/2020",03:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"25/01/2020",04:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"25/01/2020",05:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"25/01/2020",06:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"25/01/2020",07:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"25/01/2020",08:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"25/01/2020",09:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"25/01/2020",10:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"25/01/2020",11:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"25/01/2020",12:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"25/01/2020",13:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"25/01/2020",14:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"25/01/2020",15:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"25/01/2020",16:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"25/01/2020",17:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"25/01/2020",18:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"25/01/2020",19:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"25/01/2020",20:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"25/01/2020",21:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"25/01/2020",22:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"25/01/2020",23:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"26/01/2020",00:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"26/01/2020",01:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"26/01/2020",02:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"26/01/2020",03:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"26/01/2020",04:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"26/01/2020",05:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"26/01/2020",06:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"26/01/2020",07:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"26/01/2020",08:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"26/01/2020",09:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"26/01/2020",10:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"26/01/2020",11:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"26/01/2020",12:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"26/01/2020",13:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"26/01/2020",14:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"26/01/2020",15:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"26/01/2020",16:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"26/01/2020",17:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"26/01/2020",18:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"26/01/2020",19:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"26/01/2020",20:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"26/01/2020",21:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"26/01/2020",22:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"26/01/2020",23:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
"27/01/2020",00:00:00,"0.026","0.015","0.713","0.765"," 46.914","15.63"
